Konge_id,Regent,Dynasti,Fødsel,Død,Koringering,Afståelse,Regeringstid,Noter,Kilder
K1,Gorm_den_Gamle,Jellingdynastiet,908,958,936,958,22,,https://lex.dk/konger%C3%A6kken_i_Danmark?gad_source=1&gclid=CjwKCAiA8Lu9BhA8EiwAag16bwH4OUXjuhZufrtmuYcf7M4m8PBYBzBkzUS6ea4Dw2rltWqV0-gX6hoCuuMQAvD_BwE
K2,Harald_Blåtand,Jellingdynastiet,NA,987,950,987,37,,https://www.kongehuset.dk/monarkiet-i-danmark/kongerakken
K3,Svend_1._Tveskæg,Jellingdynastiet,963,1014,987,1014,27,Uklart hvornår han tiltrådte regeringsmagten.,
K4,Harald_2.,Jellingdynastiet,NA,1018,1014,1018,4,,
K5,Knud_1._den_Store,Jellingdynastiet,995,1035,1018,1035,17,,
K6,Hardeknud,Jellingdynastiet,1020,1042,1035,1042,7,,
K7,Magnus_den_Gode,Jellingdynastiet,1024,1047,1042,1047,5,,
K8,Svend_2._Estridsen,Jellingdynastiet,1020,1076,1047,1074,27,,
K9,Harald_3._Hen,Jellingdynastiet,1040,1080,1074,1080,6,Usikkert fødselsår if. Lex. ,
K10,Knud_2._den_Hellige,Jellingdynastiet,1042,1086,1080,1086,6,Usikkert fødselsår if. Lex. ,
K11,Oluf_1._Hunger,Jellingdynastiet,1050,1095,1086,1095,9,Usikkert fødselsår if. Lex. ,
K12,Erik_1._Ejegod,Jellingdynastiet,1056,1103,1095,1103,8,,
K13,Niels,Jellingdynastiet,1065,1134,1104,1134,30,Usikkert fødselsår if. Lex. ,
K14,Erik_2._Emune,Jellingdynastiet,1090,1137,1134,1137,3,Usikkert fødselsår if. Lex. ,
K15,Erik_3._Lam,Jellingdynastiet,NA,1146,1137,1146,9,,
K16,Svend_3.,Jellingdynastiet,1125,1157,1146,1157,11,"1146-1157 var en periode med tre konger, herunder Svend 3., Knud 3. og Valdemar den Store",
K17,Knud_3. ,Jellingdynastiet,1128,1157,1146,1157,11,"1146-1157 var en periode med tre konger, herunder Svend 3., Knud 3. og Valdemar den Store",
K18,Valdemar_1._den_Store,Jellingdynastiet,1131,1182,1157,1182,25,"1146-1157 var en periode med tre konger, herunder Svend 3., Knud 3. og Valdemar den Store",
K19,Knud_4.,Jellingdynastiet,1163,1202,1182,1202,20,,
K20,Valdemar_2._Sejr,Jellingdynastiet,1170,1241,1202,1241,39,,
K21,Erik_4._Plovpenning,Jellingdynastiet,1216,1250,1241,1250,9,,
K22,Abel,Jellingdynastiet,1218,1252,1250,1252,2,,
K23,Christoffer_1.,Jellingdynastiet,1219,1259,1252,1259,7,,
K24,Erik_5._Klipping,Jellingdynastiet,1249,1286,1259,1286,27,,
K25,Erik_6._Menved,Jellingdynastiet,1274,1319,1286,1319,33,,
K26,Christoffer_2.,Jellingdynastiet,1276,1332,1319,1326,7,,
K27,Valdemar_3.,Jellingdynastiet,1315,1364,1326,1329,3,,
K28,Christoffer_2.,Jellingdynastiet,1276,1332,1329,1332,3,Samme Christoffer 2. som tidligere,
K29,Interregnum,NA,NA,NA,1332,1340,8,En tid uden en regent. De ukendte værdier skyldes ikke manglende data!,
K30,Valdemar_4._Atterdag,Jellingdynastiet,1320,1375,1340,1375,35,,
K31,Oluf_2.,Jellingdynastiet,1370,1387,1375,1387,12,,
K32,Magrete_1.,Jellingdynastiet,1353,1412,1387,1396,9,,
K33,Erik_7._af_Pommern,Jellingdynastiet,1382,1459,1396,1439,43,,
K34,Christoffer_3._af_Bayern,Wittelsbach,1416,1448,1440,1448,8,Eneste regent fra Wittelsbach dynastiet,
K35,Christian_1.,Oldenburg,1426,1481,1448,1481,33,,
K36,Hans,Oldenburg,1455,1513,1482,1513,31,,
K37,Christian_2.,Oldenburg,1481,1559,1513,1523,10,,
K38,Frederik_1.,Oldenburg,1471,1533,1523,1533,10,,
K39,Interregnum,NA,NA,NA,1533,1536,3,En tid uden en regent. De ukendte værdier skyldes ikke manglende data!,
K40,Christian_3.,Oldenburg,1503,1559,1536,1559,23,,
K41,Frederik_2.,Oldenburg,1534,1588,1559,1588,29,,
K42,Christian_4.,Oldenburg,1577,1648,1596,1648,52,"Overtog tronen lige efter F2, men han var ikke gammel nok til at regere (essentielt interregnum)",
K43,Frederik_3.,Oldenburg,1609,1670,1648,1670,22,,
K44,Chrstian_5.,Oldenburg,1646,1699,1670,1699,29,,
K45,Frederik_4.,Oldenburg,1671,1730,1699,1730,31,,
K46,Christian_6.,Oldenburg,1699,1746,1730,1746,16,,
K47,Frederik_5.,Oldenburg,1723,1766,1746,1766,20,,
K48,Christian_7.,Oldenburg,1749,1808,1766,1808,42,,
K49,Frederik_6.,Oldenburg,1768,1839,1808,1839,31,,
K50,Chrstian_8.,Oldenburg,1786,1848,1839,1848,9,,
K51,Frederik_7.,Oldenburg,1808,1863,1848,1863,15,,
K52,Christian_9.,Glückborg,1818,1906,1863,1906,43,,
K53,Frederik_8.,Glückborg,1843,1912,1906,1912,6,,
K54,Christian_10.,Glückborg,1870,1947,1912,1947,35,,
K55,Frederik_9.,Glückborg,1899,1972,1947,1972,25,,
K56,Margrete_2.,Glückborg,1940,NA,1972,2024,52,,
K57,Frederik_10.,Glückborg,1968,NA,2024,NA,NA,,
