Season,nr.1,nr.2,nr.3,nr.4,nr.5,nr.6,nr.7,nr.8,nr.9,nr.10,Average,Valuta
1924/25,5000,4000,3000,2000,1000,1000,720,600,500,450,1827,Euro
1925/26,7000,7000,6000,5000,5000,4000,3000,3000,3000,3000,4600,Euro
1926/27,8000,4000,4000,4000,3000,3000,3000,2000,2000,2000,3500,Euro
1927/28,5000,4000,3000,3000,3000,1000,1000,1000,1000,700,2270,Euro
1928/29,13000,8000,8000,5000,4000,4000,4000,3000,2000,1000,5200,Euro
1929/30,12000,9000,7000,6000,6000,6000,5000,5000,4000,4000,6400,Euro
1930/31,7000,3000,901,880,640,600,525,520,500,350,1492,Euro
1931/32,27000,6000,6000,4000,3000,3000,3000,1000,1000,1000,5500,Euro
1932/33,4000,3000,3000,3000,3000,3000,2000,1000,1000,1000,2400,Euro
1933/34,43000,20000,10000,8000,7000,7000,5000,3000,3000,2000,10800,Euro
1934/35,7000,6000,3000,2000,1000,1000,1000,1000,1000,1000,2400,Euro
1935/36,3000,800,750,700,650,636,600,480,460,340,842,Euro
1936/37,8000,5000,4000,3000,3000,2000,2000,2000,950,460,3041,Euro
1937/38,23000,20000,10000,9000,9000,7000,7000,6000,5000,4000,10000,Euro
1938/39,45000,16000,11000,10000,9000,9000,9000,9000,8000,7000,13300,Euro
1939/40,580,480,180,52,28,na,na,na,na,na,264,Euro
1940/41,360,330,300,150,na,na,na,na,na,na,285,Euro
1941/42,750,600,300,165,72,15,na,na,na,na,317,Euro
1942/43,350,350,180,130,48,na,na,na,na,na,212,Euro
1943/44,4000,2000,180,na,na,na,na,na,na,na,2060,Euro
1944/45,1000,600,30,na,na,na,na,na,na,na,543,Euro
1945/46,120000,15000,8000,6000,6000,5000,5000,5000,5000,4000,17900,Euro
1946/47,15000,12000,11000,11000,11000,10000,10000,9000,8000,7000,10400,Euro
1947/48,25000,20000,18000,18000,15000,14000,14000,14000,13000,13000,16400,Euro
1948/49,30000,26000,24000,24000,24000,23000,21000,21000,19000,18000,23000,Euro
1949/50,32000,31000,27000,22000,20000,19000,15000,14000,14000,12000,20600,Euro
1950/51,48000,40000,31000,15000,10000,8000,6000,4000,3000,2000,16700,Euro
1951/52,28000,20000,17000,15000,15000,12000,12000,5000,4000,4000,13200,Euro
1952/53,40000,15000,14000,4000,3000,3000,2000,748,258,210,8222,Euro
1953/54,85000,24000,17000,15000,15000,12000,10000,10000,9000,9000,20600,Euro
1954/55,84000,30000,30000,20000,15000,9000,8000,4000,3000,2000,20500,Euro
1955/56,35000,26000,26000,20000,19000,16000,15000,11000,10000,9000,18700,Euro
1956/57,2440000,133000,42000,28000,26000,26000,18000,18000,15000,14000,276000,Euro
1957/58,100000,48000,45000,29000,26000,23000,22000,20000,18000,18000,34900,Euro
1958/59,70000,61000,60000,50000,48000,45000,41000,36000,34000,30000,47500,Euro
1959/60,75000,59000,55000,45000,45000,39000,34000,30000,30000,25000,43700,Euro
1960/61,90000,90000,73000,63000,60000,58000,55000,50000,36000,35000,61000,Euro
1961/62,175000,125000,124000,107000,84000,80000,75000,70000,63000,57000,96000,Euro
1962/63,210000,128000,120000,100000,100000,87000,79000,68000,64000,60000,101600,Euro
1963/64,250000,182000,125000,115000,114000,97000,90000,85000,84000,70000,121200,Euro
1964/65,170000,155000,145000,91000,90000,80000,75000,60000,60000,60000,98600,Euro
1965/66,197000,190000,182000,169000,145000,136000,114000,90000,87000,73000,138300,Euro
1966/67,330000,200000,115000,95000,94000,90000,83000,81000,78000,75000,124100,Euro
