Year;World GDP (EUR)
1960;1228500000000
1961;1295100000000
1962;1388700000000
1963;1498500000000
1964;1645200000000
1965;1791000000000
1966;1939500000000
1967;2064600000000
1968;2231100000000
1969;2462400000000
1970;2701800000000
1971;2984400000000
1972;3449700000000
1973;4195800000000
1974;4823100000000
1975;5391900000000
1976;5857200000000
1977;6621300000000
1978;7830900000000
1979;9099000000000
1980;10278000000000
1981;10620000000000
1982;10485000000000
1983;10773000000000
1984;11205000000000
1985;11718000000000
1986;13815000000000
1987;15741000000000
1988;17595000000000
1989;18288000000000
1990;20538000000000
1991;21438000000000
1992;22923000000000
1993;23364000000000
1994;25146000000000
1995;28026000000000
1996;28674000000000
1997;28575000000000
1998;28530000000000
1999;29457000000000
2000;30456000000000
2001;30267000000000
2002;31428000000000
2003;35235000000000
2004;39708000000000
2005;42984000000000
2006;46575000000000
2007;52479000000000
2008;57663000000000
2009;54648000000000
2010;59859000000000
2011;66564000000000
2012;68040000000000
2013;69975000000000
2014;71901000000000
2015;67824000000000
2016;68931000000000
2017;73395000000000
2018;78021000000000
2019;79155000000000
2020;77022000000000
2021;87777000000000
2022;91080000000000
2023;94860000000000
